Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00010264257406678,3.31727350517397E-05,-0.00495518296571391,0,0,0,0.0797462541060097,8.57012114371153E-06,1.08293491537705E-08,-5.94275788505759E-09,1.05158543807875E-05,1.10583333432373E-08,1.08869595154247E-05,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/base_link.STL,,atoms3_frame-1;KRS3300_scale-4,base_origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
mid_pitch_1_link,0.0327517154872403,0.0322634011493343,0.000309410745622088,0,0,0,0.0769353285466722,1.72122749770761E-05,1.01496940835006E-08,-9.64331189423188E-08,1.36641198773196E-05,5.60814889063421E-07,1.63211688368785E-05,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/mid_pitch_1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/mid_pitch_1_link.STL,,battery_parts_1-1;KRS3300_scale-2,mid_pitch_1_origin,mid_pitch_1,mid_pitch_1,continuous,0.0148999999999995,-0.0176000000000318,-0.0109999999999849,0,0,0,base_link,0,1,0,3,10,,,,,,,,,,
pitch_1_link,0.0191893034316777,-0.017231596070573,-0.00342856576321433,0,0,0,0.0105178263834885,5.84801171286377E-07,3.57321505354626E-09,8.8152444778668E-08,1.04603360596441E-06,-1.51990885783075E-13,9.82964870358909E-07,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/pitch_1_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/pitch_1_link.STL,,crossed_yaw-1/bottom_arm_20mm-1;crossed_yaw-1/cross_upper_arm_28mm-1;crossed_yaw-1/joint_base-1;crossed_yaw-1/upper_arm_20mm-1;crossed_yaw-1/cross_bottom_arm_extend_28mm-1,pitch_1_origin,pitch_1,pitch_1,continuous,0.0640000000000069,0.0350999999999983,0,0,0,0,mid_pitch_1_link,0,1,0,3,10,,,,,,,,,,
yaw_1_link,0.00934924439107056,-1.17000596711048E-10,-0.0065657034112081,0,0,0,0.0544535701857151,6.16082295678474E-06,-1.48642619322733E-08,3.66332313625793E-08,7.36782974228272E-06,-1.48634431569832E-08,7.24406343523596E-06,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/yaw_1_link.STL,0.180392156862745,0.180392156862745,0.180392156862745,1,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/yaw_1_link.STL,,KRS3300_scale-1;crossed_yaw-1/cross_upper_flame-1;crossed_yaw-1/KRS3300_scale-1;crossed_yaw-1/cross_inner_frameB-1;crossed_yaw-1/cross_inner_frameA-2,yaw_1_origin,yaw_1,yaw_1,continuous,0.0420000000000015,-0.0175000000000007,0.0174999999999981,0,0,0,pitch_1_link,0,0,-1,3,10,,,,,,,,,,
roll_1_link,0.0304847934275313,-0.000533683595524997,-0.000138763582684304,0,0,0,0.0617238803473503,1.72112591146286E-05,-2.34655399562005E-07,1.72186999812855E-07,1.09105230206178E-05,3.90599560040266E-08,1.62402505711448E-05,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/roll_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/roll_1_link.STL,,lower_gripper-1/servo_case_back-1;lower_gripper-1/secondgear_rev2-1;lower_gripper-1/servo_case_front-1;lower_gripper-1/M5UnitV_board-1;lower_gripper-1/KRS3300_scale-1;lower_gripper-1/connecting_bridge _rev2-2;lower_gripper-1/connecting_bridge _rev2-4;lower_gripper-1/connecting_bridge _rev2-3;lower_gripper-1/connecting_bridge _rev2-1,roll_1_origin,roll_1,roll_1,continuous,0.0279999999999981,0,-0.0175000000000002,0,0,0,yaw_1_link,-1,0,0,3,10,,,,,,,,,,
worm_1_link,0.00680389923417661,1.29536242400655E-05,5.52986221441856E-05,0,0,0,0.00387257618784269,2.06264558567859E-07,1.13917098659222E-09,-8.28881114232565E-10,1.7113732321225E-07,4.18404893657738E-11,1.71297030362022E-07,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/worm_1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/worm_1_link.STL,,wormgear_with_horn-2,worm_1_origin,worm_rotate_1,worm_rotate_1,continuous,0.0469999999999999,0,0,0,0,0,roll_1_link,1,0,0,15,10,,,,,,,,,,
nail1_1_link,0.0375115559402243,-4.52381021421033E-05,0.000927613439051046,0,0,0,0.00785451508753953,3.26792929870295E-07,2.23311778369799E-10,3.04391588566406E-07,1.76174668735888E-06,-8.7203716693621E-12,1.60467609944965E-06,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/nail1_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/nail1_1_link.STL,,nail_asm_1-1,nail1_1_origin,nail1_rotate_1,nail1_rotate_1,continuous,0.0569999999999999,0,-0.0149999999999954,3.14159265358974,0,0,roll_1_link,0,-1,0,,,,,,,,,,,,
nail2_1_link,0.0375922338704431,-0.000920668174592305,-5.01249966510589E-05,0,0,0,0.00783920613274618,3.26764420600123E-07,-3.04083796030301E-07,3.01596352148099E-10,1.60307023285989E-06,-3.50228545349602E-11,1.7600802033745E-06,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/nail2_1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/nail2_1_link.STL,,nail_asm_2-1,nail2_1_origin,nail2_rotate_1,nail2_rotate_1,continuous,0.0569999999999999,-0.0150000000000087,0,0,0,0,roll_1_link,0,0,-1,,,,,,,,,,,,
nail3_1_link,0.0376633576375596,-4.50239708446043E-05,0.000912382199221681,0,0,0,0.00782164323980883,3.26387568167113E-07,1.94469452026803E-10,3.03929104031752E-07,1.75640452707706E-06,-1.77166863072923E-11,1.59916689354216E-06,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/nail3_1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/nail3_1_link.STL,,nail_asm_3-1,nail3_1_origin,nail3_rotate_1,nail3_rotate_1,continuous,0.0569999999999998,0,0.0150000000000046,0,0,0,roll_1_link,0,-1,0,,,,,,,,,,,,
nail4_1_link,0.0376199045292883,0.000916237603659741,4.27065705779009E-05,0,0,0,0.00783130292561273,3.26490723468266E-07,3.0398859313737E-07,-4.37077734142467E-10,1.60061195688429E-06,2.94387193060157E-11,1.75778452318195E-06,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/nail4_1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://griphis_xacro_stl/meshes/nail4_1_link.STL,,nail_asm_4-1,nail4_1_origin,nail4_rotate_1,nail4_rotate_1,continuous,0.0569999999999999,0.0149999999999913,0,0,0,0,roll_1_link,0,0,1,,,,,,,,,,,,
